Linux 2.6.32-358.2.1.el6.x86_64 (n020303) 	2013-05-30 	_x86_64_	(24 CPU)

00:00:01          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
01:50:01      dev8-16     62,86   9839,58   6076,30    253,21      0,51      8,11      1,67     10,47
01:50:01       dev8-0     62,23   9844,64   6074,22    255,80      0,50      8,06      1,66     10,32
01:50:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
01:50:01       dev9-1      0,72      0,00      5,77      8,00      0,00      0,00      0,00      0,00
01:50:01       dev9-3    283,36  19684,10  12134,81    112,29      0,00      0,00      0,00      0,00
01:50:01       dev9-2      0,02      0,12      0,00      8,00      0,00      0,00      0,00      0,00
02:00:01      dev8-16     83,47   1253,07  25254,60    317,56      0,63      7,53      2,13     17,81
02:00:01       dev8-0     83,18   1255,33  25249,97    318,64      0,64      7,73      2,12     17,66
02:00:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
02:00:01       dev9-1      0,74      0,00      5,89      7,98      0,00      0,00      0,00      0,00
02:00:01       dev9-3    467,81   2508,08  50488,61    113,29      0,00      0,00      0,00      0,00
02:00:01       dev9-2      0,04      0,33      0,00      8,00      0,00      0,00      0,00      0,00
02:10:01      dev8-16     98,20   2105,42  26696,73    293,29      0,90      9,20      2,09     20,52
02:10:01       dev8-0     98,59   2111,43  26692,16    292,14      0,91      9,26      2,12     20,86
02:10:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
02:10:01       dev9-1      0,86      0,42      6,43      7,98      0,00      0,00      0,00      0,00
02:10:01       dev9-3    516,17   4214,96  53371,89    111,57      0,00      0,00      0,00      0,00
02:10:01       dev9-2      0,17      1,36      0,00      8,00      0,00      0,00      0,00      0,00
02:20:01      dev8-16     94,38   2156,72  26745,38    306,22      0,90      9,50      2,13     20,14
02:20:01       dev8-0     94,48   2168,77  26739,19    305,95      0,89      9,39      2,15     20,29
02:20:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
02:20:01       dev9-1      0,72      0,00      5,74      8,00      0,00      0,00      0,00      0,00
02:20:01       dev9-3    514,55   4319,33  53469,34    112,31      0,00      0,00      0,00      0,00
02:20:01       dev9-2      0,77      6,16      0,00      8,00      0,00      0,00      0,00      0,00
02:30:01      dev8-16     96,25   4386,57  18706,43    239,93      1,15     12,00      1,83     17,57
02:30:01       dev8-0     97,20   4410,17  18712,62    237,89      1,19     12,20      1,90     18,46
02:30:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
02:30:01       dev9-1      0,75      0,00      6,01      7,98      0,00      0,00      0,00      0,00
02:30:01       dev9-3    433,70   8796,63  37403,44    106,53      0,00      0,00      0,00      0,00
02:30:01       dev9-2      0,01      0,11      0,00      8,00      0,00      0,00      0,00      0,00
02:40:01      dev8-16     52,46   1943,76   9859,22    224,98      0,35      6,60      2,02     10,60
02:40:01       dev8-0     53,53   1946,93   9867,63    220,72      0,38      7,09      2,08     11,13
02:40:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
02:40:01       dev9-1      0,77      0,00      6,13      8,00      0,00      0,00      0,00      0,00
02:40:01       dev9-3    225,32   3890,12  19709,50    104,74      0,00      0,00      0,00      0,00
02:40:01       dev9-2      0,06      0,46      0,00      8,00      0,00      0,00      0,00      0,00
02:50:01      dev8-16     39,17   2142,61   5418,25    193,02      0,25      6,30      1,93      7,58
02:50:01       dev8-0     39,20   2143,14   5419,08    192,92      0,25      6,27      1,95      7,63
02:50:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
02:50:01       dev9-1      0,68      0,00      5,48      8,00      0,00      0,00      0,00      0,00
02:50:01       dev9-3    147,89   4285,64  10822,56    102,15      0,00      0,00      0,00      0,00
02:50:01       dev9-2      0,01      0,11      0,00      8,00      0,00      0,00      0,00      0,00
03:00:01      dev8-16     35,91   2168,86   5426,02    211,52      0,23      6,31      2,20      7,90
03:00:01       dev8-0     35,82   2169,25   5422,55    211,96      0,23      6,55      2,25      8,05
03:00:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
03:00:01       dev9-1      0,71      0,00      5,69      8,00      0,00      0,00      0,00      0,00
03:00:01       dev9-3    144,75   4337,99  10833,26    104,81      0,00      0,00      0,00      0,00
03:00:01       dev9-2      0,02      0,12      0,00      8,00      0,00      0,00      0,00      0,00
03:10:01      dev8-16     39,28   2199,96   5456,60    194,90      0,27      7,00      2,01      7,91
03:10:01       dev8-0     39,36   2201,04   5456,21    194,55      0,28      7,10      2,02      7,96
03:10:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
